Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,FeatureTID,FeaturePNGURL
String,int,String,int,String,int,String,int,String,String,String,String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,String,String
1,27,,,,,,,,,,,,6,24,30,30,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,3,2,3,5,,,100,,,600,5,1,1,,,1,1,,,,,,,,
2,7,FreeCash,85,Corn,4,,,,,,,,6,24,30,30,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,3,2,3,5,,,100,,,604,5,1,1,,,1,1,,,,,,,,
3,14,FreeDiamonds,1,,,,,,,,,,9,36,30,30,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,3,2,3,5,,,100,,,611,5,1,1,,,1,1,,,,,,,,
4,30,FreeDiamonds,1,FreeCash,100,,,,,,,,9,36,30,30,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,3,2,3,5,1,0,100,10,15,622,10,4,7,100,150,3,3,720,1080,240,1000,,,,
5,50,Soybean,3,FreeDiamonds,1,,,,,,,,12,48,30,30,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,3,2,3,5,2,0,13,10,15,637,12,4,7,100,150,3,3,720,1080,240,1000,,,,
6,220,Cow Food,5,,,,,,,,,,12,48,30,30,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,1,4,3,3,5,3,68,17,10,15,656,13,4,7,100,150,3,3,720,1080,240,1000,,,,
7,370,Sugarcane,3,FreeDiamonds,1,,,,,,,,15,60,30,30,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,1,4,4,3,5,4,67,21,10,15,680,14,4,7,100,150,3,3,720,1080,240,1000,,,TID_FEATURE_RSS_NEWSPAPER,http://game-assets.haydaygame.com/static/unlock_images/unlock_rss_610x252.png
8,490,Saw,1,FreeDiamonds,1,,,,,,,,15,60,30,30,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,1,4,5,3,5,5,66,23,10,15,709,15,4,7,100,150,3,3,720,1080,240,1000,,,TID_MAVIS_CALENDAR,http://game-assets.haydaygame.com/static/unlock_images/unlock_daily_tasks_610x252.png
9,790,Carrot,3,,,,,,,,,,18,72,30,30,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,1,4,6,3,5,6,65,26,10,15,742,17,4,7,100,150,3,3,720,1080,240,1000,,,TID_FEATURE_CALENDAR_EVENTS,http://game-assets.haydaygame.com/static/unlock_images/unlock_events_610x252.png
10,960,Pig Food,3,FreeDiamonds,1,,,,,,,,18,72,30,30,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,,,1,4,7,3,5,7,64,29,10,15,781,18,4,7,100,150,3,3,720,1080,240,1000,5,3,TID_FEATURE_NEIGHBORHOOD,http://game-assets.haydaygame.com/static/unlock_images/unlock_neighborhood_610x252-1.png
11,1180,Demolition Charge,1,Dynamite,1,,,,,,,,21,84,30,30,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,,,1,5,8,3,5,7,63,31,10,15,825,19,4,7,100,155,3,3,720,1080,240,1000,5,3,TID_FEATURE_FARM_PASS,http://game-assets.haydaygame.com/static/unlock_images/unlock_farmpass_610x252.png
12,1550,Axe,1,FreeDiamonds,1,,,,,,,,21,84,30,30,,,,,,,,,,,,,,,,,,,2,1,,1,,2,1,,,,1,5,9,3,5,7,62,34,10,16,874,21,4,7,105,155,3,3,720,1080,240,1000,5,3,TID_NEIGHBORHOOD_TRADING_REQUESTS_TITLE,http://game-assets.haydaygame.com/static/unlock_images/unlock_nhrequests_610x252.png
13,1790,Indigo,3,,,,,,,,,,24,96,30,30,,,,,,,,,,,,,,,,,,,2,1,,1,,2,1,,,,1,5,10,3,5,7,61,36,10,16,928,22,4,7,105,155,3,3,720,1080,240,1000,5,3,,
14,2270,Saw,2,FreeDiamonds,1,,,,,,,,24,96,30,30,,,,,,,,,,,,,,,,,,,2,1,,1,,2,1,,,,1,5,11,3,5,7,60,39,10,16,988,23,4,7,105,155,3,3,720,1080,240,1000,5,3,TID_FEATURE_TOM,http://game-assets.haydaygame.com/static/unlock_images/unlock_tom_610x252.png
15,2880,Pumpkin,3,,,,,RewardSetML1,,,,,27,108,30,30,,,,,,,,,,,,,,,,,,,2,2,,1,,2,1,,,,1,5,12,3,5,7,59,42,10,16,1054,25,4,7,105,155,3,3,720,1080,240,1000,5,3,,
16,3270,Sheep Food,3,,,,,RewardSetML1,,,,,27,108,30,30,,,,,,,,,,,,,,,,,,,2,2,1,1,,2,1,,,,1,6,13,3,5,7,58,44,10,16,1125,26,4,7,105,160,3,3,720,1080,240,1000,5,3,,
17,4120,Saw,1,,,,,RewardSetML2,,,,,30,120,30,30,,,,,,,,,,,,,,,,,,,2,2,1,1,,2,1,,,,1,6,14,3,5,7,57,47,11,16,1203,27,4,7,110,160,3,3,720,1080,240,1000,5,3,TID_FEATURE_BOAT,http://game-assets.haydaygame.com/static/unlock_images/unlock_boatdoc_610x252.png
18,4740,Saw,1,Cotton,3,,,RewardSetML1,,,,,30,120,30,30,,,,,,,,,,,,,,,,,,,2,2,1,2,,2,1,,,,1,6,15,3,5,7,56,49,11,16,1286,28,4,7,110,160,3,3,720,1080,240,1000,5,3,,
19,5610,,,,,,,RewardSetML2,,,,,33,132,30,30,,,,,,,,,,,,,,,,,,,2,2,1,2,,2,1,,,,1,6,15,3,5,7,55,52,11,16,1375,30,4,7,110,160,3,3,720,1080,240,1000,5,3,,
20,6320,,,,,,,RewardSetML3,,,,,33,132,30,30,,,1,1,,,,,,,,,,,,,1,1,2,2,1,2,,2,1,,,,1,6,20,3,5,7,54,55,11,17,1471,31,6,8,115,165,3,3,720,1080,240,1000,5,3,TID_FEATURE_FIRST_PET,http://game-assets.haydaygame.com/static/unlock_images/unlock_pet_610x252.png
21,7750,,,,,,,RewardSetML4,,,,,36,144,30,30,1,1,1,1,,,,,,,,,,,,,1,1,2,2,1,2,,2,1,,,,1,6,20,3,5,7,53,56,11,17,1572,32,6,8,115,165,3,3,720,1080,240,1000,5,3,,
