Name,IntValue,StringValue,BooleanValue
String,int,String,boolean
OutlineColorR,255,,
OutlineColorG,255,,
OutlineColorB,255,,
OutlineColorA,255,,
OutlineHorizontalSize,7,,
OutlineVerticalSize,7,,
InvalidPositionOutlineColorR,255,,
InvalidPositionOutlineColorG,0,,
InvalidPositionOutlineColorB,0,,
InvalidPositionOutlineColorA,255,,
AnimalHabitatOutlineHorizontalSize,12,,
AnimalHabitatOutlineVerticalSize,12,,
FindFreeTileFromHabitatWhenBuyingAnimal,,,TRUE
MoveModeTimeMS,400,,
MaxZoom,150,,
DefaultZoom,100,,
MinZoom,50,,
MaxZoomMobile,100,,
DefaultZoomMobile,60,,
MinZoomMobile,25,,
MaxZoomSlowMobile,100,,
DefaultZoomSlowMobile,67,,
MinZoomSlowMobile,37,,
ObjectClickScrollDurationMS,1000,,
DoubleClickScrollDurationMS,1000,,
DoubleClickDistanceThreshold,15,,
IsoPanningDamp,0,,
IsoPinchingDamp,80,,
BuildingFixExp,1,,
RoadsideShopStandDiamondPrice,5,,
RoadsideShopStandAdvertisementDiamondPrice,1,,
RoadsideShopMaxStackAmount,10,,
RoadsideShopMaxPricePercentage,360,,
InitialRoadsideShopStandCount,4,,
CinematicCameraSpeed,700,,
EndClientTurnMessageIntervalSeconds,10,,
MinimumNotificationTimeMinutes,5,,
MaxFarmNameLength,25,,
MinRandomSoundSeconds,15,,
MaxRandomSoundSeconds,30,,
RoadsideShopDiscardDiamondPrice,1,,
VolumeFarAway,75,,
ButtonTimelineFile,,sc/hud.sc,
ButtonTimelineExportName,,button_timeline,
DragButtonTimelineFile,,sc/hud.sc,
DragButtonTimelineExportName,,drag_button_timeline,
MoveActivationExportName,,move_activation,
DebugFontName,,SC CCBackBeat,
AIFarmerName,,TID_GREG,
InitialAvatar,350,FreeCash,
,30,FreeDiamonds,
,9,Chicken Food,
AIAvatar,151,ExpLevel,
,100,ReputationLevel,
,6,RoadsideShopStandCount,
,3,WWFPackageState,
FeedbackEmail,,mailto:hayday.feedback@supercell.net?subject=<SUBJECT>,
FeedbackEmail_ANDROID,,mailto:hayday.android@supercell.net?subject=<SUBJECT>,
ReconnectAfterHibernateMinutes,2,,
DiamondButtonIgnoreTimeMS,1000,,
RoadSideShopStandAdvertisementCooldownMinutes,5,,
NewspaperRefreshSeconds,120,,
DiamondsFromRestartPackage,25,,
TreeIdleSpeedMultiplierMin,100,,
TreeIdleSpeedMultiplierMax,100,,
MinTimeHoursGregComesToBuy,4,,
UIMargins,70,,
UIMarginsMobile,35,,
FruitTreeVisualProgress0,5,,
FruitTreeVisualProgress1,15,,
FruitTreeVisualProgress2,33,,
MaxFollowing,10,,
